PDB_ID	CHAIN_INDEX	ORIGINAL_CHAIN_ID	EXPECTED_PROTENIX_CHAIN_ID	ENTITY_ID	SEQUENCE_LENGTH	SEQUENCE_SHA256	NON_ACGU_COUNT	UNK_TOKEN_COUNT	EMBEDDING_METHOD	WINDOW_COUNT	WINDOW_STARTS	OUTPUT_PATH
1AJT	1	B	B	2	7	5b8f193de989a7d956deb69edaf6ca19e5845e9e54914332db2b5e0bf361349a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJT/rnafm_t12_residue_embeddings.pt
1AJU	0	A	A	1	30	917ae0fb1cfeddc3a4f4d9bb204f2a1aee9903c3c300be70d6cbdf21ff773178	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AJU/rnafm_t12_residue_embeddings.pt
1AKX	0	A	A	1	30	917ae0fb1cfeddc3a4f4d9bb204f2a1aee9903c3c300be70d6cbdf21ff773178	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AKX/rnafm_t12_residue_embeddings.pt
1AL5	0	A	A	1	12	1567f98321ecdcbf65059e387ee3689831fef34f3944e491d568e603f4ea912e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AL5/rnafm_t12_residue_embeddings.pt
1AL5	1	B	B	1	12	1567f98321ecdcbf65059e387ee3689831fef34f3944e491d568e603f4ea912e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AL5/rnafm_t12_residue_embeddings.pt
1AM0	0	A	A	1	40	4dc4658844d91ee0bef8f9568da4584394ada4fbc022cafd707c50de5867fce4	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AM0/rnafm_t12_residue_embeddings.pt
1ANR	0	A	A	1	29	009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ANR/rnafm_t12_residue_embeddings.pt
1AQO	0	A	A	1	29	27a22b896afad950ef14e5c3884f09b8d6ba68e0a19906d3b36553080cd5e6ee	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1AQO/rnafm_t12_residue_embeddings.pt
1ARJ	0	N	A	1	29	009a3155c2070b7e2bc7fe4b01041587c3baab2a9836a546f93403572b2f4f52	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ARJ/rnafm_t12_residue_embeddings.pt
1ATO	0	A	A	1	19	ca2c4da2f757302f9188b5d82998954c063caa6d3b211f710f1e42879818e5cc	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ATO/rnafm_t12_residue_embeddings.pt
1ATV	0	A	A	1	17	cfd60936d04c709571afb7850defeb3fc21ea7ede83b192897b4bee7806328d0	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ATV/rnafm_t12_residue_embeddings.pt
1ATW	0	A	A	1	15	7ef4f8bbdf149860329cd58dbf8cd70f6829098c162285ec3365884a0309695a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ATW/rnafm_t12_residue_embeddings.pt
1B36	0	A	A	1	38	bc5277436539450514b6d04bd0fe22632b4e0556da97bad4d5a9c01de9cbda7b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1B36/rnafm_t12_residue_embeddings.pt
1BAU	0	A	A	1	23	c35a13ee2f94efb53ccc313dec5d44f9db2867a2fcc1283957b529313e4c6e9e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BAU/rnafm_t12_residue_embeddings.pt
1BAU	1	B	B	1	23	c35a13ee2f94efb53ccc313dec5d44f9db2867a2fcc1283957b529313e4c6e9e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BAU/rnafm_t12_residue_embeddings.pt
1BGZ	0	A	A	1	23	ed915062c05f765ec53ec9765f0e5c8fd4c4264c8ad946226c799214741604ab	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BGZ/rnafm_t12_residue_embeddings.pt
1BJ2	0	A	A	1	21	680cd13f14aa15969f7e433e9221946688a75a2a5bddf98e04db55147b6dec30	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BJ2/rnafm_t12_residue_embeddings.pt
1BJ2	1	B	B	2	19	cbc4d36be46b9bf42d39b2edbbc9ef81c20c528f6cacfacb2b5b31956768e8aa	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BJ2/rnafm_t12_residue_embeddings.pt
1BN0	0	A	A	1	20	129f4fa29917a0c7906439dd5d1c0605103cc4da1c9ac07eeaf78b212229ac74	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BN0/rnafm_t12_residue_embeddings.pt
1BVJ	0	A	A	1	23	2edb36641ac17962ade4b132ba860c5b7cd1da1e94a92f8466d50767b5b4e119	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BVJ/rnafm_t12_residue_embeddings.pt
1BYJ	0	A	A	1	27	bbdab9cde9655d13304e9bbf2ad29392e5c6e58541cc9dc473f29b7b529f1eed	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BYJ/rnafm_t12_residue_embeddings.pt
1BZ2	0	A	A	1	17	3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BZ2/rnafm_t12_residue_embeddings.pt
1BZ3	0	A	A	1	17	3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BZ3/rnafm_t12_residue_embeddings.pt
1BZT	0	A	A	1	17	3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BZT/rnafm_t12_residue_embeddings.pt
1BZU	0	A	A	1	17	3239c32f90063de768ea689eea49ebbaa12a349f490a66674c20245b6346d836	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1BZU/rnafm_t12_residue_embeddings.pt
1C0O	0	A	A	1	14	fcc8f2f91f85372551589a091e36a76411e056737c8fb1a405afbb2af44f410b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1C0O/rnafm_t12_residue_embeddings.pt
1C2W	0	B	A	1	2904	552888d004ae1aa394c4d7223ff07823ffb2bb49515ea7d41e2eab8ea6857bac	0	0	sliding_window_uniform_mean	4	0,766,1532,1882	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1C2W/rnafm_t12_residue_embeddings.pt
1C2X	0	C	A	1	120	377cc53522f8e6ba36bf361ed06ab1c9189430fb447e2b7f6d1e5967a725ff9d	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1C2X/rnafm_t12_residue_embeddings.pt
1C4L	0	A	A	1	9	8932f299ffdccb9636db1eb2cfe748504c83b8df5f1434dd7f434f384143ea27	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1C4L/rnafm_t12_residue_embeddings.pt
1C4L	1	B	B	2	9	27aed5dc8d5d9ad086100735abe8e65a14cfc19841bf460ec7a3f252a7cd85d1	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1C4L/rnafm_t12_residue_embeddings.pt
1CQ5	0	A	A	1	43	d65beb44e8bb51d55ab03b9179a434b6a3a8b278bba59256a6c72363c01c7727	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1CQ5/rnafm_t12_residue_embeddings.pt
1CQL	0	A	A	1	43	d65beb44e8bb51d55ab03b9179a434b6a3a8b278bba59256a6c72363c01c7727	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1CQL/rnafm_t12_residue_embeddings.pt
1CSL	0	A	A	1	13	2b4adbe2a831693ac2f0567ccd5cb76c3ab54daafa59e1cdb040922566334994	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1CSL/rnafm_t12_residue_embeddings.pt
1CSL	1	B	B	2	15	16fc92f1f265e611fc8ad9ac652831ef9ad806ae24b45434f59082cc6ae121e5	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1CSL/rnafm_t12_residue_embeddings.pt
1D0T	0	A	A	1	21	35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1D0T/rnafm_t12_residue_embeddings.pt
1D0U	0	A	A	1	21	35f6b981f3f3a277cdcc2c61699ade1d339876ced78d033a621e389f375bdbe9	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1D0U/rnafm_t12_residue_embeddings.pt
1D4R	0	A	A	1	29	839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1D4R/rnafm_t12_residue_embeddings.pt
1D4R	1	B	B	2	29	839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1D4R/rnafm_t12_residue_embeddings.pt
1D4R	2	C	C	2	29	839933b9a2e6bd7cbe03d76a86d9d0d71d7e118d1fda7a0656c8fb98f42a0afc	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1D4R/rnafm_t12_residue_embeddings.pt
1DDY	0	A	A	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DDY/rnafm_t12_residue_embeddings.pt
1DDY	1	C	B	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DDY/rnafm_t12_residue_embeddings.pt
1DDY	2	E	C	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DDY/rnafm_t12_residue_embeddings.pt
1DDY	3	G	D	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DDY/rnafm_t12_residue_embeddings.pt
1DQF	0	A	A	1	9	507a796c1c51a4f195f3dfab5daff07c9b6e77daf30517b086a20f5a7b0f11fa	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DQF/rnafm_t12_residue_embeddings.pt
1DQF	1	B	B	2	10	e2ba89b7ac2fbfb601359080dc32bee9f170747165c109f11fb44f0766c195ed	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DQF/rnafm_t12_residue_embeddings.pt
1DQH	0	A	A	1	9	507a796c1c51a4f195f3dfab5daff07c9b6e77daf30517b086a20f5a7b0f11fa	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DQH/rnafm_t12_residue_embeddings.pt
1DQH	1	B	B	2	10	e2ba89b7ac2fbfb601359080dc32bee9f170747165c109f11fb44f0766c195ed	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DQH/rnafm_t12_residue_embeddings.pt
1DUH	0	A	A	1	45	d0eb893c5f8740316fe430b049ca4f12d04a12260fded9417a31d6b9b8cbbf11	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUH/rnafm_t12_residue_embeddings.pt
1DUQ	0	A	A	1	12	bac712041b9f68558a5c3f76c94543762151655b98e4981124f3a2ceb08f5407	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	1	C	B	1	12	bac712041b9f68558a5c3f76c94543762151655b98e4981124f3a2ceb08f5407	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	2	E	C	1	12	bac712041b9f68558a5c3f76c94543762151655b98e4981124f3a2ceb08f5407	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	3	G	D	1	12	bac712041b9f68558a5c3f76c94543762151655b98e4981124f3a2ceb08f5407	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	4	B	E	2	14	852f30f16bf3380aae6806daf01c544a9737f726c9d38721f4ca938dfd626641	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	5	D	F	2	14	852f30f16bf3380aae6806daf01c544a9737f726c9d38721f4ca938dfd626641	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	6	F	G	2	14	852f30f16bf3380aae6806daf01c544a9737f726c9d38721f4ca938dfd626641	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1DUQ	7	H	H	2	14	852f30f16bf3380aae6806daf01c544a9737f726c9d38721f4ca938dfd626641	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1DUQ/rnafm_t12_residue_embeddings.pt
1E4P	0	A	A	1	24	1792a60d6c640a33076ed73e910c65b6d66758bab30c1d0c294bd695b9114031	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1E4P/rnafm_t12_residue_embeddings.pt
1E95	0	A	A	1	36	788aa7b394ed9edf5178d44494eff9bab5bc73bd5dbb4a4091fcbfe21d4da0f3	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1E95/rnafm_t12_residue_embeddings.pt
1EBQ	0	A	A	1	29	35eb1c995460c07bae66d95cfe2e7af1b248fb12c73c252d5b89ded465c024ea	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EBQ/rnafm_t12_residue_embeddings.pt
1EBR	0	A	A	1	30	13385c7239731251c760bcdc3f7ab8e46a7220e5f479f385d20f2073d04a274c	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EBR/rnafm_t12_residue_embeddings.pt
1EBS	0	A	A	1	29	35eb1c995460c07bae66d95cfe2e7af1b248fb12c73c252d5b89ded465c024ea	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EBS/rnafm_t12_residue_embeddings.pt
1EHT	0	A	A	1	33	a46732703b3efe46f02790e0c2ff26fefafd27ab2e14aedf50e10a57c1a25696	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EHT/rnafm_t12_residue_embeddings.pt
1EHZ	0	A	A	1	76	28890de0dd2033379fabebc7165a219d6092ad9bbadc77f4c7528be78963ca0b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EHZ/rnafm_t12_residue_embeddings.pt
1EI2	0	A	A	1	25	e35c8599c960a450716afb747ebb69b6d583c092880ea8d95fd4673058cd4d7a	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EI2/rnafm_t12_residue_embeddings.pt
1EKA	0	A	A	1	8	74ee228b1da5765520831fab7fb63843a2d60877a8d84df00e82372a6e8936a8	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EKA/rnafm_t12_residue_embeddings.pt
1EKA	1	B	B	1	8	74ee228b1da5765520831fab7fb63843a2d60877a8d84df00e82372a6e8936a8	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EKA/rnafm_t12_residue_embeddings.pt
1EKD	0	A	A	1	8	4a1a2c6383839091255f4f0e19ae17b1cbca16af1b8a67b90478d52a3b617d94	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EKD/rnafm_t12_residue_embeddings.pt
1EKD	1	B	B	1	8	4a1a2c6383839091255f4f0e19ae17b1cbca16af1b8a67b90478d52a3b617d94	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EKD/rnafm_t12_residue_embeddings.pt
1ELH	0	A	A	1	12	a5fb33e72fe635569879469c6c28a8a67c07f44337848f0d59d422d2b7137581	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ELH/rnafm_t12_residue_embeddings.pt
1ELH	1	B	B	2	13	c99feebdb9e880535f6b80931ce3becfd590ed14b89ab67d5637540b7d23c2ba	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ELH/rnafm_t12_residue_embeddings.pt
1ESH	0	A	A	1	13	e57e40cc051a45ea25f663ea5f1104244a99e3bb64b76f0b5ec50a3661efdf58	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ESH/rnafm_t12_residue_embeddings.pt
1ESY	0	A	A	1	19	66165706cf44035c13d0f15aa38abe92883a72f25312f2ae7597468533aabea2	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ESY/rnafm_t12_residue_embeddings.pt
1ET4	0	A	A	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ET4/rnafm_t12_residue_embeddings.pt
1ET4	1	B	B	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ET4/rnafm_t12_residue_embeddings.pt
1ET4	2	C	C	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ET4/rnafm_t12_residue_embeddings.pt
1ET4	3	D	D	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ET4/rnafm_t12_residue_embeddings.pt
1ET4	4	E	E	1	35	6ec69eeef190b3788b7253513f1b60f6d213512a91e9a70d76d29bcfe66d745e	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1ET4/rnafm_t12_residue_embeddings.pt
1EVV	0	A	A	1	76	28890de0dd2033379fabebc7165a219d6092ad9bbadc77f4c7528be78963ca0b	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1EVV/rnafm_t12_residue_embeddings.pt
1F1T	0	A	A	1	38	c67ca09a644d991f4a901efe5479d8c5148e0a2089a7ddec1e11bdbbdb0b6258	0	0	full_sequence	1	0	/storage9920/home/tinghao.xia/Data_FM/RNA_FM_embeddings/1F1T/rnafm_t12_residue_embeddings.pt
