pdb_id	candidate_count	valid_candidate_count	failed_candidate_count	rank1_seed	rank1_sample	ranking_score	rank1_rmsd	rank1_valid_rmsd	rank1_eval_status	rank1_evaluation_protocol	candidate_failure_reasons	exclude_from_strict_rank1_rmsd	exclusion_reason
1ARJ	25	25	0	66	0	0.5146686434745789	4.452	True	SUCCESS	foldbench_full		False	
1ATO	25	25	0	42	0	0.029915202409029	2.365	True	SUCCESS	foldbench_full		False	
1ATV	25	25	0	2024	0	0.0322388745844364	2.771	True	SUCCESS	foldbench_full		False	
1ATW	25	25	0	66	0	0.0060871518217027	2.787	True	SUCCESS	foldbench_full		False	
1B36	25	25	0	8888	0	0.1428623050451278	7.295	True	SUCCESS	foldbench_full		False	
1BAU	25	25	0	8888	0	0.5394318699836731	23.606	True	SUCCESS	foldbench_full		False	
1BGZ	25	25	0	42	0	0.1111797839403152	4.325	True	SUCCESS	foldbench_full		False	
1BJ2	25	25	0	66	0	0.7818894982337952	7.067	True	SUCCESS	foldbench_full		False	
1BN0	25	25	0	2024	0	0.068107359111309	3.039	True	SUCCESS	foldbench_full		False	
1BVJ	25	25	0	66	0	0.1052698642015457	1.645	True	SUCCESS	foldbench_full		False	
1BYJ	25	25	0	8888	0	0.9190398454666138	1.793	True	SUCCESS	foldbench_full		False	
1BZ2	25	25	0	8888	0	0.0320637375116348	1.273	True	SUCCESS	foldbench_full		False	
1BZ3	25	25	0	8888	0	0.0319676361978054	2.299	True	SUCCESS	foldbench_full		False	
1BZT	25	25	0	8888	0	0.1655454486608505	2.895	True	SUCCESS	foldbench_full		False	
1BZU	25	25	0	8888	0	0.1654912382364273	2.581	True	SUCCESS	foldbench_full		False	
1C0O	25	25	0	2024	0	0.3257942497730255	1.276	True	SUCCESS	foldbench_full		False	
1C2W	25	25	0	42	0	0.1757697910070419	36.615	True	SUCCESS	foldbench_full		False	
1C2X	25	25	0	66	0	0.1578643172979354	10.549	True	SUCCESS	foldbench_full		False	
1C4L	25	25	0	101	0	0.1662001758813858	1.657	True	SUCCESS	foldbench_full		False	
1CQ5	25	25	0	42	0	0.1538049578666687	4.194	True	SUCCESS	foldbench_full		False	
1CQL	25	25	0	2024	0	0.1539127826690673	6.24	True	SUCCESS	foldbench_full		False	
1CSL	25	25	0	101	0	0.709587574005127	0.36	True	SUCCESS	foldbench_full		False	
1D0T	25	25	0	8888	0	0.1723203361034393	1.874	True	SUCCESS	foldbench_full		False	
1D0U	25	25	0	2024	0	0.0837117955088615	2.01	True	SUCCESS	foldbench_full		False	
1D4R	25	25	0	101	0	0.5503837466239929	24.97	True	SUCCESS	foldbench_full		False	
1DDY	25	25	0	2024	0	0.5220068097114563	25.25	True	SUCCESS	foldbench_full		False	
1DQF	25	25	0	101	0	0.4101847112178802	0.235	True	SUCCESS	foldbench_full		False	
1DQH	25	25	0	101	0	0.1619206815958023	0.281	True	SUCCESS	foldbench_full		False	
1DUH	25	25	0	2024	0	0.7369435429573059	37.703	True	SUCCESS	foldbench_full		False	
1DUQ	25	25	0	42	0	0.3518038988113403	18.347	True	SUCCESS	foldbench_full		False	
1E4P	25	25	0	101	0	0.123952142894268	4.141	True	SUCCESS	foldbench_full		False	
1E95	25	25	0	101	0	0.1365235447883606	3.848	True	SUCCESS	foldbench_full		False	
1EBQ	25	25	0	2024	0	0.1287516355514526	3.357	True	SUCCESS	foldbench_full		False	
1EBR	25	25	0	8888	0	0.1256633549928665	5.449	True	SUCCESS	foldbench_full		False	
1EBS	25	25	0	2024	0	0.128679558634758	4.054	True	SUCCESS	foldbench_full		False	
1EHT	25	25	0	101	0	0.7072917222976685	4.908	True	SUCCESS	foldbench_full		False	
1EHZ	25	25	0	101	0	0.693375825881958	1.18	True	SUCCESS	foldbench_full		False	
1EI2	25	25	0	101	0	0.8387421369552612	3.366	True	SUCCESS	foldbench_full		False	
1EKA	25	25	0	2024	0	0.0278947763144969	2.653	True	SUCCESS	foldbench_full		False	
1EKD	25	25	0	101	0	0.0366939716041088	1.736	True	SUCCESS	foldbench_full		False	
1ELH	25	25	0	66	0	0.6524867415428162	2.363	True	SUCCESS	foldbench_full		False	
1ESH	25	25	0	2024	0	0.0084160584956407	1.821	True	SUCCESS	foldbench_full		False	
1ESY	25	25	0	101	0	0.0278579946607351	2.805	True	SUCCESS	foldbench_full		False	
1ET4	25	25	0	42	0	0.4339528083801269	25.614	True	SUCCESS	foldbench_full		False	
1EVV	25	25	0	8888	0	0.7537726163864136	0.759	True	SUCCESS	foldbench_full		False	
1F1T	25	25	0	42	0	0.8740922808647156	0.445	True	SUCCESS	foldbench_full		False	
1F27	25	25	0	66	0	0.8775802254676819	0.149	True	SUCCESS	foldbench_full		False	
1F5G	25	25	0	8888	0	0.2863343954086303	1.824	True	SUCCESS	foldbench_full		False	
1F5H	25	25	0	8888	0	0.2859759032726288	1.623	True	SUCCESS	foldbench_full		False	
1F5U	25	25	0	101	0	0.5223165154457092	20.944	True	SUCCESS	foldbench_full		False	
1F6X	25	25	0	101	0	0.1255266517400741	2.312	True	SUCCESS	foldbench_full		False	
1F6Z	25	25	0	101	0	0.1277743577957153	2.751	True	SUCCESS	foldbench_full		False	
1F78	25	25	0	101	0	0.5903948545455933	2.573	True	SUCCESS	foldbench_full		False	
1F79	25	25	0	101	0	0.6147176623344421	3.097	True	SUCCESS	foldbench_full		False	
1F7F	25	25	0	8888	0	0.125408336520195	3.365	True	SUCCESS	foldbench_full		False	
1F7G	25	25	0	101	0	0.1276920884847641	3.174	True	SUCCESS	foldbench_full		False	
1F7H	25	25	0	66	0	0.5890935659408569	4.52	True	SUCCESS	foldbench_full		False	
1F7I	25	25	0	101	0	0.6150231957435608	3.189	True	SUCCESS	foldbench_full		False	
1F84	25	25	0	66	0	0.1255023032426834	2.606	True	SUCCESS	foldbench_full		False	
1F85	25	25	0	42	0	0.0060744453221559	1.469	True	SUCCESS	foldbench_full		False	
1F9L	25	25	0	2024	0	0.0899879857897758	3.011	True	SUCCESS	foldbench_full		False	
1FCW	25	25	0	101	0	0.7222992181777954	28.316	True	SUCCESS	foldbench_full		False	
1FEQ	25	25	0	42	0	0.1746447384357452	3.564	True	SUCCESS	foldbench_full		False	
1FG0	25	25	0	101	0	0.8343636989593506	40.88	True	SUCCESS	foldbench_full		False	
1FHK	25	25	0	66	0	0.0061089219525456	2.139	True	SUCCESS	foldbench_full		False	
1FIR	25	25	0	42	0	0.7519509792327881	1.433	True	SUCCESS	foldbench_full		False	
1FL8	25	25	0	2024	0	0.1808181703090667	1.381	True	SUCCESS	foldbench_full		False	
1FMN	25	25	0	101	0	0.7891579270362854	5.29	True	SUCCESS	foldbench_full		False	
1FOQ	25	25	0	8888	0	0.2490367293357849	38.776	True	SUCCESS	foldbench_full		False	
1FQZ	25	25	0	101	0	0.1207210794091224	1.241	True	SUCCESS	foldbench_full		False	
1FUF	25	25	0	2024	0	0.9269953966140748	0.134	True	SUCCESS	foldbench_full		False	
1FYO	25	25	0	66	0	0.1178352981805801	4.322	True	SUCCESS	foldbench_full		False	
1FYP	25	25	0	8888	0	0.9112390279769896	2.567	True	SUCCESS	foldbench_full		False	
1G2J	25	25	0	42	0	0.4705198407173157	6.131	True	SUCCESS	foldbench_full		False	
1G3A	25	25	0	2024	0	0.944312334060669	0.995	True	SUCCESS	foldbench_full		False	
1GID	25	25	0	101	0	0.3482414186000824	29.016	True	SUCCESS	foldbench_full		False	
1GRZ	25	25	0	101	0	0.4726505279541015	47.031	True	SUCCESS	foldbench_full		False	
1GUC	25	25	0	2024	0	0.04055642709136	0.945	True	SUCCESS	foldbench_full		False	
1H0Q	25	25	0	66	0	0.9646973013877868	0.859	True	SUCCESS	foldbench_full		False	
1H1K	25	25	0	8888	0	0.2676614820957184	342.239	True	SUCCESS	rigid_only_rescue		False	
1HLX	25	25	0	101	0	0.070309966802597	2.046	True	SUCCESS	foldbench_full		False	
1HR2	25	25	0	2024	0	0.2658591270446777	40.209	True	SUCCESS	foldbench_full		False	
1HS1	25	25	0	8888	0	0.0075984946452081	2.916	True	SUCCESS	foldbench_full		False	
1HS2	25	25	0	2024	0	0.0064591169357299	1.782	True	SUCCESS	foldbench_full		False	
1HS3	25	25	0	8888	0	0.0073266099207103	1.792	True	SUCCESS	foldbench_full		False	
1HS4	25	25	0	2024	0	0.0059117446653544	1.974	True	SUCCESS	foldbench_full		False	
1HS8	25	25	0	8888	0	0.0083336597308516	2.625	True	SUCCESS	foldbench_full		False	
1HWQ	25	25	0	66	0	0.1352809518575668	5.251	True	SUCCESS	foldbench_full		False	
1I3X	25	25	0	2024	0	0.028389448300004	2.844	True	SUCCESS	foldbench_full		False	
1I3Y	25	25	0	101	0	0.1666669696569442	2.956	True	SUCCESS	foldbench_full		False	
1I46	25	25	0	66	0	0.0076226713135838	1.597	True	SUCCESS	foldbench_full		False	
1I4B	25	25	0	2024	0	0.0097763203084468	1.891	True	SUCCESS	foldbench_full		False	
1I4C	25	25	0	66	0	0.009632128290832	2.069	True	SUCCESS	foldbench_full		False	
1I7J	25	25	0	42	0	0.9316468238830566	0.78	True	SUCCESS	foldbench_full		False	
1I9K	25	25	0	101	0	0.3818667232990265	3.782	True	SUCCESS	foldbench_full		False	
1I9V	25	25	0	42	0	0.8150217533111572	0.7	True	SUCCESS	foldbench_full		False	
1I9X	25	25	0	2024	0	0.6067564487457275	0.257	True	SUCCESS	foldbench_full		False	
1IDV	25	25	0	2024	0	0.0136519419029355	2.139	True	SUCCESS	foldbench_full		False	
1IE1	25	25	0	42	0	0.0886067748069763	4.828	True	SUCCESS	foldbench_full		False	
1IE2	25	25	0	2024	0	0.0886248275637626	4.814	True	SUCCESS	foldbench_full		False	
1IK1	25	25	0	2024	0	0.0064771571196615	2.095	True	SUCCESS	foldbench_full		False	
1IK5	25	25	0	66	0	0.9182627201080322	0.182	True	SUCCESS	foldbench_full		False	
1IKD	25	25	0	42	0	0.0959246531128883	2.122	True	SUCCESS	foldbench_full		False	
1J4Y	25	25	0	8888	0	0.0280411001294851	3.688	True	SUCCESS	foldbench_full		False	
1J6S	25	25	0	8888	0	0.7784361839294434	16.497	True	SUCCESS	foldbench_full		False	
1J7T	25	25	0	8888	0	0.9288129210472108	0.717	True	SUCCESS	foldbench_full		False	
1J8G	25	25	0	8888	0	0.7077262997627258	11.761	True	SUCCESS	foldbench_full		False	
1J9H	25	25	0	101	0	0.6428536176681519	11.161	True	SUCCESS	foldbench_full		False	
1JO7	25	25	0	8888	0	0.1284695118665695	4.779	True	SUCCESS	foldbench_full		False	
1JOX	25	25	0	42	0	0.0862503424286842	3.263	True	SUCCESS	foldbench_full		False	
1JP0	25	25	0	42	0	0.0861664563417434	2.959	True	SUCCESS	foldbench_full		False	
1JTJ	25	25	0	42	0	0.0986779332160949	4.686	True	SUCCESS	foldbench_full		False	
1JTW	25	25	0	2024	0	0.3988802134990692	1.443	True	SUCCESS	foldbench_full		False	
1JU1	25	25	0	2024	0	0.5184407830238342	4.792	True	SUCCESS	foldbench_full		False	
1JU7	25	25	0	8888	0	0.0972973406314849	3.232	True	SUCCESS	foldbench_full		False	
1JUR	25	25	0	2024	0	0.0864780619740486	2.158	True	SUCCESS	foldbench_full		False	
1JWC	25	25	0	8888	0	0.0972122475504875	3.186	True	SUCCESS	foldbench_full		False	
1JZC	25	25	0	2024	0	0.0083474600687623	2.571	True	SUCCESS	foldbench_full		False	
1JZV	25	25	0	42	0	0.9006350636482239	9.585	True	SUCCESS	foldbench_full		False	
1K2G	25	25	0	42	0	0.0899220332503318	7.239	True	SUCCESS	foldbench_full		False	
1K4A	25	25	0	66	0	0.0066341497004032	2.239	True	SUCCESS	foldbench_full		False	
1K4B	25	25	0	66	0	0.0078762164339423	1.504	True	SUCCESS	foldbench_full		False	
1K5I	25	25	0	42	0	0.1045489832758903	1.993	True	SUCCESS	foldbench_full		False	
1K6G	25	25	0	66	0	0.1018119007349014	2.273	True	SUCCESS	foldbench_full		False	
1K6H	25	25	0	8888	0	0.0986584648489952	1.353	True	SUCCESS	foldbench_full		False	
1K8S	25	25	0	101	0	0.6380198001861572	3.009	True	SUCCESS	foldbench_full		False	
1K9W	25	25	0	8888	0	0.2695770263671875	29.333	True	SUCCESS	foldbench_full		False	
1KAJ	25	25	0	2024	0	0.1306589990854263	9.566	True	SUCCESS	foldbench_full		False	
1KD3	25	25	0	101	0	0.5135912895202637	0.49	True	SUCCESS	foldbench_full		False	
1KD4	25	25	0	66	0	0.5225250720977783	0.548	True	SUCCESS	foldbench_full		False	
1KD5	25	25	0	8888	0	0.442973256111145	0.561	True	SUCCESS	foldbench_full		False	
1KFO	25	25	0	8888	0	0.161836102604866	16.236	True	SUCCESS	foldbench_full		False	
1KH6	25	25	0	42	0	0.1451415419578552	4.867	True	SUCCESS	foldbench_full		False	
1KIS	25	25	0	2024	0	0.7360528111457825	2.628	True	SUCCESS	foldbench_full		False	
1KKA	25	25	0	8888	0	0.0279710050672292	4.556	True	SUCCESS	foldbench_full		False	
1KKS	25	25	0	8888	0	0.1026769801974296	4.472	True	SUCCESS	foldbench_full		False	
1KOC	25	25	0	8888	0	0.5900576710700989	12.142	True	SUCCESS	foldbench_full		False	
1KOD	25	25	0	42	0	0.7291108965873718	3.481	True	SUCCESS	foldbench_full		False	
1KOS	25	25	0	2024	0	0.1781610250473022	2.823	True	SUCCESS	foldbench_full		False	
1KP7	25	25	0	101	0	0.106453001499176	5.404	True	SUCCESS	foldbench_full		False	
1KPD	25	25	0	8888	0	0.1340827792882919	6.183	True	SUCCESS	foldbench_full		False	
1KPY	25	25	0	42	0	0.1567870676517486	4.032	True	SUCCESS	foldbench_full		False	
1KPZ	25	25	0	42	0	0.1570178121328354	3.984	True	SUCCESS	foldbench_full		False	
1KXK	25	25	0	101	0	0.5057731866836548	6.511	True	SUCCESS	foldbench_full		False	
1L1W	25	25	0	66	0	0.1210316196084022	1.652	True	SUCCESS	foldbench_full		False	
1L2X	25	25	0	42	0	0.6069066524505615	0.454	True	SUCCESS	foldbench_full		False	
1L3D	25	25	0	8888	0	0.1522912979125976	0.617	True	SUCCESS	foldbench_full		False	
1L3Z	25	25	0	101	0	0.0113648623228073	12.806	True	SUCCESS	foldbench_full		False	
1L8V	25	25	0	2024	0	0.3226585388183594	5.458	True	SUCCESS	foldbench_full		False	
1LC4	25	25	0	8888	0	0.9125022292137146	0.652	True	SUCCESS	foldbench_full		False	
1LC6	25	25	0	66	0	0.1065750867128372	5.416	True	SUCCESS	foldbench_full		False	
1LDZ	25	25	0	8888	0	0.1231707111001014	4.149	True	SUCCESS	foldbench_full		False	
1LMV	25	25	0	101	0	0.155237078666687	2.53	True	SUCCESS	foldbench_full		False	
1LNT	25	25	0	101	0	0.898467481136322	0.111	True	SUCCESS	foldbench_full		False	
1LPW	25	25	0	2024	0	0.8732354640960693	4.109	True	SUCCESS	foldbench_full		False	
1LU3	25	25	0	101	0	0.1686300784349441	0.926	True	SUCCESS	foldbench_full		False	
1LUU	25	25	0	2024	0	0.187978133559227	3.384	True	SUCCESS	foldbench_full		False	
1LUX	25	25	0	101	0	0.1849375367164611	3.258	True	SUCCESS	foldbench_full		False	
1LVJ	25	25	0	66	0	0.7387624979019165	6.274	True	SUCCESS	foldbench_full		False	
1M5L	25	25	0	8888	0	0.1281325966119766	6.07	True	SUCCESS	foldbench_full		False	
1M82	25	25	0	66	0	0.1131229028105735	2.37	True	SUCCESS	foldbench_full		False	
1MDG	25	0	25	101	0	0.5884609222412109		False	missing_output	unavailable	GDT_TOO_FEW_MAPPED_POSITIONS	True	NO_CANDIDATE_HAS_VALID_RMSD
1ME1	25	25	0	66	0	0.0097438571974635	1.981	True	SUCCESS	foldbench_full		False	
1MFJ	25	25	0	101	0	0.0662452653050422	2.168	True	SUCCESS	foldbench_full		False	
1MFK	25	25	0	8888	0	0.1036614701151847	2.149	True	SUCCESS	foldbench_full		False	
1MFY	25	25	0	101	0	0.119334876537323	3.393	True	SUCCESS	foldbench_full		False	
1MHK	25	25	0	66	0	0.6911700367927551	0.26	True	SUCCESS	foldbench_full		False	
1MIS	25	25	0	101	0	0.0152577627450227	0.956	True	SUCCESS	foldbench_full		False	
1MME	25	25	0	2024	0	0.5555342435836792	5.255	True	SUCCESS	foldbench_full		False	
1MNX	25	25	0	8888	0	0.1397989392280578	3.8	True	SUCCESS	foldbench_full		False	
1MSY	25	25	0	8888	0	0.1321133971214294	0.91	True	SUCCESS	foldbench_full		False	
1MT4	25	25	0	101	0	0.1107212305068969	3.855	True	SUCCESS	foldbench_full		False	
1MUV	25	25	0	101	0	0.1410814672708511	1.036	True	SUCCESS	foldbench_full		False	
1MV1	25	25	0	42	0	0.8792831897735596	1.853	True	SUCCESS	foldbench_full		False	
1MV2	25	25	0	101	0	0.7736433148384094	2.126	True	SUCCESS	foldbench_full		False	
1MV6	25	25	0	66	0	0.8884869813919067	2.629	True	SUCCESS	foldbench_full		False	
1MWG	25	25	0	8888	0	0.0159607287496328	0.946	True	SUCCESS	foldbench_full		False	
1MWL	25	25	0	66	0	0.916928768157959	0.676	True	SUCCESS	foldbench_full		False	
1MY9	25	25	0	2024	0	0.5852228403091431	16.365	True	SUCCESS	foldbench_full		False	
1N53	25	25	0	8888	0	0.5403743982315063	3.726	True	SUCCESS	foldbench_full		False	
1N66	25	25	0	8888	0	0.0957731008529663	1.701	True	SUCCESS	foldbench_full		False	
1N8X	25	25	0	42	0	0.1276465058326721	2.508	True	SUCCESS	foldbench_full		False	
1NA2	25	25	0	42	0	0.1149336323142051	4.847	True	SUCCESS	foldbench_full		False	
1NBK	25	25	0	2024	0	0.7190958261489868	3.134	True	SUCCESS	foldbench_full		False	
1NBR	25	25	0	66	0	0.1163258776068687	2.494	True	SUCCESS	foldbench_full		False	
1NBS	25	25	0	101	0	0.3018791377544403	27.367	True	SUCCESS	foldbench_full		False	
1NC0	25	25	0	2024	0	0.1135987415909767	6.734	True	SUCCESS	foldbench_full		False	
1NEM	25	25	0	101	0	0.8415546417236328	1.989	True	SUCCESS	foldbench_full		False	
1NJN	25	25	0	42	0	0.9244672656059264	4.121	True	SUCCESS	foldbench_full		False	
1NJO	25	25	0	101	0	0.9476593136787416	3.988	True	SUCCESS	foldbench_full		False	
1NLC	25	25	0	8888	0	0.5192345380783081	20.964	True	SUCCESS	foldbench_full		False	
1NTA	25	25	0	8888	0	0.9062038064002992	0.369	True	SUCCESS	foldbench_full		False	
1NTB	25	25	0	8888	0	0.9083067178726196	0.277	True	SUCCESS	foldbench_full		False	
1NUJ	25	25	0	42	0	0.4397329986095428	16.808	True	SUCCESS	foldbench_full		False	
1NUV	25	25	0	2024	0	0.4389484226703644	19.171	True	SUCCESS	foldbench_full		False	
1NYI	25	25	0	2024	0	0.8690211176872253	0.175	True	SUCCESS	foldbench_full		False	
1NZ1	25	25	0	101	0	0.1507402062416076	3.446	True	SUCCESS	foldbench_full		False	
1O15	25	25	0	101	0	0.705611526966095	3.139	True	SUCCESS	foldbench_full		False	
1O3Z	25	25	0	101	0	0.4914299845695495	0.702	True	SUCCESS	foldbench_full		False	
1O9M	25	25	0	8888	0	0.9131491780281068	0.28	True	SUCCESS	foldbench_full		False	
1OQ0	25	25	0	66	0	0.0061614336445927	2.093	True	SUCCESS	foldbench_full		False	
1OSU	25	0	25	8888	0	0.0219790451228618		False	missing_output	unavailable	GDT_TOO_FEW_MAPPED_POSITIONS	True	NO_CANDIDATE_HAS_VALID_RMSD
1OSW	25	25	0	101	0	0.0892907828092575	3.639	True	SUCCESS	foldbench_full		False	
1OW9	25	25	0	8888	0	0.1177768111228942	2.093	True	SUCCESS	foldbench_full		False	
1P5M	25	25	0	2024	0	0.118976853787899	4.072	True	SUCCESS	foldbench_full		False	
1P5N	25	25	0	42	0	0.1407207697629928	2.26	True	SUCCESS	foldbench_full		False	
1P5O	25	25	0	42	0	0.1326906085014343	3.436	True	SUCCESS	foldbench_full		False	
1P5P	25	25	0	42	0	0.132700964808464	3.734	True	SUCCESS	foldbench_full		False	
1P79	25	0	25	101	0	0.0566442683339118		False	missing_output	unavailable	GDT_TOO_FEW_MAPPED_POSITIONS	True	NO_CANDIDATE_HAS_VALID_RMSD
1P9X	25	25	0	42	0	0.948314368724823	4.121	True	SUCCESS	foldbench_full		False	
1PBL	25	25	0	42	0	0.9418703317642212	10.135	True	SUCCESS	foldbench_full		False	
1PBM	25	25	0	101	0	0.0292436517775058	0.998	True	SUCCESS	foldbench_full		False	
1PBR	25	25	0	8888	0	0.9216025471687316	1.853	True	SUCCESS	foldbench_full		False	
1PJY	25	25	0	2024	0	0.0944429412484169	1.711	True	SUCCESS	foldbench_full		False	
1Q29	25	25	0	2024	0	0.7874007821083069	0.528	True	SUCCESS	foldbench_full		False	
1Q75	25	25	0	42	0	0.0064206109382212	1.675	True	SUCCESS	foldbench_full		False	
1Q8N	25	25	0	42	0	0.8335659503936768	3.983	True	SUCCESS	foldbench_full		False	
1Q93	25	25	0	66	0	0.3291723728179931	20.367	True	SUCCESS	foldbench_full		False	
1Q96	25	25	0	8888	0	0.2934505939483642	21.918	True	SUCCESS	foldbench_full		False	
1Q9A	25	25	0	101	0	0.1322639286518097	0.385	True	SUCCESS	foldbench_full		False	
1QBP	25	25	0	8888	0	0.3513262569904327	24.203	True	SUCCESS	foldbench_full		False	
1QC0	25	0	25	66	0	0.7462408542633057		False	missing_output	unavailable	OST_FAILURE_OTHER	True	NO_CANDIDATE_HAS_VALID_RMSD
1QC8	25	25	0	66	0	0.1102836355566978	5.802	True	SUCCESS	foldbench_full		False	
1QCU	25	25	0	2024	0	0.4012144207954407	14.426	True	SUCCESS	rigid_only_rescue		False	
1QD3	25	25	0	2024	0	0.9009673595428468	3.222	True	SUCCESS	foldbench_full		False	
1QES	25	25	0	42	0	0.0282411240041255	0.557	True	SUCCESS	foldbench_full		False	
1QET	25	25	0	2024	0	0.0342549383640289	1.086	True	SUCCESS	foldbench_full		False	
1QWA	25	25	0	8888	0	0.0587792694568634	4.743	True	SUCCESS	foldbench_full		False	
1QWB	25	25	0	8888	0	0.1231987997889518	7.523	True	SUCCESS	foldbench_full		False	
1QZA	25	0	25	8888	0	0.1582125872373581		False	missing_output	unavailable	GDT_TOO_FEW_MAPPED_POSITIONS	True	NO_CANDIDATE_HAS_VALID_RMSD
1QZB	25	0	25	2024	0	0.157618448138237		False	missing_output	unavailable	GDT_TOO_FEW_MAPPED_POSITIONS	True	NO_CANDIDATE_HAS_VALID_RMSD
1R2P	25	25	0	42	0	0.1332783550024032	9.578	True	SUCCESS	foldbench_full		False	
1R3O	25	25	0	2024	0	0.6008907556533813	7.721	True	SUCCESS	foldbench_full		False	
1R4H	25	25	0	2024	0	0.0114134484902024	1.755	True	SUCCESS	foldbench_full		False	
1R7W	25	25	0	2024	0	0.1216133460402488	9.887	True	SUCCESS	foldbench_full		False	
1R7Z	25	25	0	66	0	0.1176228299736976	11.124	True	SUCCESS	foldbench_full		False	
1RAU	25	25	0	2024	0	0.4958940744400024	3.019	True	SUCCESS	foldbench_full		False	
1RAW	25	25	0	101	0	0.7890177965164185	13.36	True	SUCCESS	foldbench_full		False	
1RFR	25	25	0	2024	0	0.1273910999298095	3.193	True	SUCCESS	foldbench_full		False	
1RHT	25	25	0	101	0	0.111794076859951	4.58	True	SUCCESS	foldbench_full		False	
1RMN	25	25	0	66	0	0.1506378352642059	12.837	True	SUCCESS	foldbench_full		False	
1RNA	25	25	0	2024	0	0.7037011981010437	0.381	True	SUCCESS	foldbench_full		False	
1RNG	25	25	0	2024	0	0.0084399515762925	1.834	True	SUCCESS	foldbench_full		False	
1RNK	25	25	0	8888	0	0.1354623734951019	6.186	True	SUCCESS	foldbench_full		False	
1ROQ	25	25	0	66	0	0.0063765379600226	0.841	True	SUCCESS	foldbench_full		False	
1RRR	25	21	4	42	0	0.3504526317119598	1.138	True	SUCCESS	foldbench_full	GDT_TOO_FEW_MAPPED_POSITIONS	False	
1RXA	25	25	0	66	0	0.0129555938765406	5.853	True	SUCCESS	foldbench_full		False	
1RXB	25	25	0	2024	0	0.0382757745683193	0.728	True	SUCCESS	foldbench_full		False	
1S2F	25	25	0	8888	0	0.0797241851687431	2.713	True	SUCCESS	foldbench_full		False	
1S34	25	25	0	8888	0	0.0796097069978714	2.868	True	SUCCESS	foldbench_full		False	
1S9L	25	25	0	42	0	0.8149257898330688	0.861	True	SUCCESS	foldbench_full		False	
1S9S	25	25	0	42	0	0.090160347521305	24.425	True	SUCCESS	foldbench_full		False	
1SA9	25	25	0	101	0	0.4347890019416809	15.766	True	SUCCESS	foldbench_full		False	
1SAQ	25	25	0	2024	0	0.7790758013725281	26.462	True	SUCCESS	foldbench_full		False	
1SCL	25	25	0	66	0	0.1387963145971298	5.329	True	SUCCESS	foldbench_full		False	
1SDR	25	25	0	42	0	0.6311463713645935	12.8	True	SUCCESS	foldbench_full		False	
1SLO	25	25	0	8888	0	0.0292842220515012	2.196	True	SUCCESS	foldbench_full		False	
1SLP	25	25	0	8888	0	0.029323486611247	2.449	True	SUCCESS	foldbench_full		False	
1SY4	25	25	0	101	0	0.1065446883440017	2.978	True	SUCCESS	foldbench_full		False	
1SYZ	25	25	0	101	0	0.1064781099557876	2.708	True	SUCCESS	foldbench_full		False	
